prompt_name,premise_1,premise_2,conjunction,conjunction_type,constructed_sentence
Car-free cities,Urban air quality improves substantially,because eliminating motor vehicles cuts carbon emissions.,because,causal,Urban air quality improves substantially because because eliminating motor vehicles cuts carbon emissions.
Car-free cities,Municipalities are transitioning to car-free districts,since vehicle exhaust directly exacerbates respiratory illnesses.,since,causal,Municipalities are transitioning to car-free districts since since vehicle exhaust directly exacerbates respiratory illnesses.
Car-free cities,Public health in cities has improved,as fewer cars on roads lead to quieter and cleaner streets.,as,causal,Public health in cities has improved as as fewer cars on roads lead to quieter and cleaner streets.
Car-free cities,"Given that urban noise pollution causes chronic stress,",car-free zones create much more peaceful environments.,Given that,causal,"Given that urban noise pollution causes chronic stress, car-free zones create much more peaceful environments."
Car-free cities,Local economies thrive in pedestrian zones,because foot traffic increases customer visits to retail stores.,because,causal,Local economies thrive in pedestrian zones because because foot traffic increases customer visits to retail stores.
Car-free cities,"Although car-free policies initially face citizen pushback,",they ultimately improve long-term urban livability.,Although,concession,"Although car-free policies initially face citizen pushback, they ultimately improve long-term urban livability."
Car-free cities,"Personal vehicles offer individual convenience,",even though they contribute heavily to urban smog.,even though,concession,"Personal vehicles offer individual convenience, even though even though they contribute heavily to urban smog."
Car-free cities,"While transition costs for public transit are high,",car-free initiatives yield major environmental benefits.,While,concession,"While transition costs for public transit are high, car-free initiatives yield major environmental benefits."
Car-free cities,"Despite the inconvenience for suburban commuters,",restricting inner-city cars helps reduce traffic fatalities.,Despite,concession,"Despite the inconvenience for suburban commuters, restricting inner-city cars helps reduce traffic fatalities."
Car-free cities,"Electric buses provide sustainable urban mobility,",whereas gasoline-powered cars degrade city air quality.,whereas,concession,"Electric buses provide sustainable urban mobility, whereas whereas gasoline-powered cars degrade city air quality."
Car-free cities,"Although car-free policies initially face citizen pushback,",they ultimately improve long-term urban livability.,Although,concession,"Although car-free policies initially face citizen pushback, they ultimately improve long-term urban livability."
Car-free cities,"Personal vehicles offer individual convenience,",even though they contribute heavily to urban smog.,even though,concession,"Personal vehicles offer individual convenience, even though even though they contribute heavily to urban smog."
Car-free cities,"While transition costs for public transit are high,",car-free initiatives yield major environmental benefits.,While,concession,"While transition costs for public transit are high, car-free initiatives yield major environmental benefits."
Car-free cities,"Despite the inconvenience for suburban commuters,",restricting inner-city cars helps reduce traffic fatalities.,Despite,concession,"Despite the inconvenience for suburban commuters, restricting inner-city cars helps reduce traffic fatalities."
